,公司名称,经营范围,省份,所属地区,企业简介,新动能条款,企业分类
33,威高集团有限公司技术中心,"三类:6865医用缝合材料及粘合剂生产、销售;一类手术室、急救室、诊疗室设备及器具、塑料制品、机械电子产品、包装材料、注塑模具的生产销售;医药技术开发、转让、技术咨询;园林绿化;水产养殖;计算机基础软件开发;对医疗器械、药品、化工产品(危险品除外)、机电产品、高新技术产业的投资、经营和管理;农、林、牧产品,纺织、服装及家庭用品,文化、体育用品及器材,医药及医疗器材,矿产品,建材及化工产品,机械设备、五金产品及电子产品的批发;备案范围内的货物及技术进出口业务;成品油、润滑油、预包装食品及乳制品(不含婴幼儿配方乳粉)零售;汽车美容;洗车;烟草制品零售(限分支机构经营);房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,威海,"威高集团有限公司始建于1988年3月，以医疗器械和药品为主业，发展了房地产、投资等产业，下辖医用制品、血液净化、骨科、医疗装备、药业、心内耗材、医疗商业、房地产、投资等9大产业集团、30多个子公司。医疗器械和药品主要有输注耗材、输血器材、心脏支架及心内耗材、留置针及各种异型针、血液净化设备及耗材、骨科材料、手术设备及附件、创伤护理、微创器械及设备、ICU产品及附件、大容量注射液及其它药品、肾科产品、生物诊断试剂、人造血浆、手术缝合线、生物种植体、PVC及非PVC原料等30多个系列，400多种、6万多个规格，成为全球品种齐全、安全可靠、值得信赖的医疗系统解决方案制造商之一。同时积极进入医疗健康和服务领域，开展肾透析服务。集团控股子公司山东威高集团医用高分子制品股份有限公司为香港上市公司。




威高集团系国家863产业化基地、国家火炬计划重点高新技术企业，先后荣获行业排头兵企业、全国守合同重信用企业、全国自主创新示范单位、中国大企业集团竞争力500强、全国医药工业百强、中国民营企业500强、中国专利山东明星企业、中国最具投标实力医疗器械品牌供应商第一名、山东省第二届省长质量奖、山东省产学研合作创新突出贡献奖、山东省百强企业、山东省首批诚信示范企业、山东省最佳企业公民、山东省首批履行社会责任达标企业等荣誉称号。




威高坚持以技术创新调整产品结构，大力提高自主创新能力。建有国家级技术中心、植入器械国家工程实验室、国家重点实验室、院士工作站、博士后工作站、泰山学者实验室等研究实体，并与中国科学院、中国工程院、中国工程物理研究院、浙江大学、四川大学、华东理工大学、沈阳药科大学、哈工大（威海）等单位开展产学研合作，建立了20家研发中心或联合实验室，并在北京、天津、长春、深圳设立研发机构，拥有各类科技研发和管理人员1000多人。现拥有发明专利50多项，自主知识产权产品340多项，高科技含量和高附加值产品达80％以上，其中120多种产品达到国际先进、国内领先水平，100多种产品打破国外垄断，20多种产品列入国家火炬计划、国家“863”计划等国家项目。




威高坚持科学管理，贯彻实施卓越绩效评价准则，建立大质量概念下的质量标准体系，持续改进经营管理模式，提高顾客满意度，提升竞争力。推进扁平化管理，引进先进管理思想和方法。实施了ERP、SRM、BPM等信息系统，打造了完善的信息化管理平台，提高了决策水平、管理效率和质量。坚持“满足并努力超越顾客的最大需求”的质量方针，追求顾客满意。通过了ISO9000认证、ISO13485质量体系认证、欧盟CE认证、 GMP认证，30多种产品获得了美国FDA认可。大力实施名牌战略，以先进技术生产优质产品，提供一流服务，赢得市场认可。产品销往国内30多个省市区，三级医院全国覆盖率达到81.3％，血站覆盖率达到77.2％，并远销到世界70多个国家和地区。



威高坚持实施“走出去”战略，加强国际合作。先后与世界银行、美国美敦力公司、日本日机装株式会社、日本泰尔茂株式会社、美国真视觉公司、韩国IT公司等国外知名企业建立了战略合作关系，并在美国、日本、英国、德国、法国建有研发中心，吸收全球医疗先进技术，提高自主创新能力。
威高坚持承担社会责任，大力支持社会公益和慈善事业，促进和谐社会建设。先后开展了威高光明行动、威高爱心工程、威高情十大孝星评选活动、认捐慈善基金、支援灾区等活动，同时大力支持学校、贫困村、贫困职工、贫困家庭、贫困学生，累计捐款捐物3亿多元。



威高集团始终秉承“携同白衣使者，开创健康未来”的使命，坚持“开拓创新，求实巩固”的建厂方针，大力弘扬威高文化，树立“良心、诚心、忠心”的核心价值观，坚持“一个中心 三个调整”的战略方针，“以医疗器械和药业为主业，积极探索和涉足房地产、投资等其它相关产业，适时适机兼并重组相关产业链条上有发展潜质的企业，达到主业突出、多业并举、联动发展”的总体战略思想，致力于打造全球化公司，实现“进军世界强企之列、亚洲领先、中国最强，最受人尊敬的医疗器械和医药企业”的愿景目标，为中国医疗健康事业繁荣发展做出应有的贡献。",,医养健康
34,山东登海种业股份有限公司技术中心,"许可证规定范围内的农作物种子生产、分装、销售(有效期限以许可证为准)。农作物新品种选育;农业新技术开发及成果转让、技术推广、技术咨询、培训服务;进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,莱州,,,现代农业
35,菱花集团有限公司技术中心,"味精、淀粉及淀粉制品的生产(凭许可证核定的范围经营,有效期以许可证为准);谷氨酸的生产及销售;硫酸铵的生产及销售(非食品工业用);热电生产(自用);机械制造、维修及安装;玉米收购(自用);复混肥的生产与销售;废品回收;服装加工及销售;计算机软硬件开发;网络和电子仪器的研制开发;其他印刷品印刷、散装食品、预包装食品、农产品的销售(以上仅限批准的分支机构持证经营);农产品加工;房屋租赁;汽车租赁;非学历职业技能培训;味精生产技术、谷氨酸发酵技术服务;煤炭、五金产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,济宁,"菱花集团创建于1979年，是国家级大型企业集团、农业产业化国家重点龙头企业、国家火炬计划重点高新技术企业、全国发酵行业循环经济试点企业、国家循环经济试点单位，拥有国家级企业技术中心、山东省氨基酸工程技术研究中心。企业资产总额18 亿元，固定资产14亿元，下辖菱花股份、正大菱花、菱花诚志、菱味调味品、菱花立功、菱澳科技等十余家公司。产品拓展到调味品、氨基酸、医药、食品添加剂以及能源、原料、副产品五大系列30多个品种。2008年实现销售收入26.17亿元，利税2.45亿元。 
近年来，菱花集团坚持“提高、发展、调整、联合”八字方针，以提高效益为基础，以科学发展为第一要务，以调整产品结构为主线，以联合为动力，形成了“氨基酸生物工程为主业、上下游延伸”的产业集群格局，打造出“科技、品牌、市场、园区”四大优势。科技创新上，先后承担国家级火炬计划1项、国家级星火计划2项、国家863计划1项、国家级技术创新计划2项、省级科技项目16项、市级科技项目30多项；品牌塑造上，主导产品“菱花”牌味精为“人民大会堂宴会专用味精”、“中国名牌产品”、国内味精行业第一家“绿色食品”，“菱花”商标被认定为“中国驰名商标”，2006年被国家商务部评为“中国最具市场竞争力品牌”；市场开发上，精心培育了一个“遍布全国、走向世界、布局合理、反馈迅速”的大市场网络，产品出口60多个国家和地区，被评为全国农产品加工业出口示范企业;园区建设上，菱花工业园先后引进了泰国正大、日本味之素、清华诚志、台湾立功科技、日本天利株式会社、香港菊生实业公司、美国殷氏彩塑公司等7家外资企业，合同总投资22.92亿元，将形成销售收入68亿元、利税9.6亿元的能力。 
当前菱花集团通过扩大招商引资，正向“百年菱花、百亿企业”的双百目标迈进,实现百亿元销售收入的发展框架已搭起。整体思路是：生物工程+上下游发展+联合=100亿元。",,高端化工
36,潍柴动力股份有限公司技术中心,"内燃机、液压产品、新能源动力总成系统及配套产品的设计、开发、生产、销售、维修、进出口;自有房屋租赁;钢材销售;企业管理服务(以上不涉及国营贸易管理商品,涉及配额、许可证管理的商品,按国家有关规定办理)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,潍坊,,,高端装备制造
37,丛林集团有限公司技术中心,"本集团成员单位自产的水泥、输送带、胶圈、三角带、铝型材、铝制散热器、球墨铸铁管、管件、厢式汽车、专用车、农用车、汽车零部件、起重机及相关技术的出口业务;本集团成员单位生产科研所需原辅材料机械设备、零配件和相关技术的进口业务;机械设备租赁,房屋租赁;企业管理服务,投资咨询服务,贸易咨询服务,企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,龙口,"丛林集团有限公司是国家级企业集团、国家创新型企业，现有员工5000余人，资产总额达131亿元,集建材、电力、冶金、化工、交通、轻工和机械制造于一体。拥有国家级企业技术中心、国家级实验室、博士后科研工作站、山东省工业铝型材工程技术研究中心和山东省“高速列车铝合金材料国产化技术研究”泰山学者岗位等科研机构，主要产品有：年产500万吨的丛林水泥、年产15万吨的丛林铝材、年产15万吨的丛林球管及管件、年产3000套的轻轨地铁列车车体系统零部件及功能模块等。2012年实现销售收入196亿元。",,高端化工
38,鲁泰纺织股份有限公司技术中心,"从事棉纱、色织布、衬衣、服装饰品、保健内衣、纺织品及配套产品的生产、加工和销售业务;纺织服装品设计、研发、技术服务;经营非配额许可证管理、非专营商品的收购出口;酒店、宾馆、餐饮、会议、培训服务;自有房屋、土地租赁业务;纯净水的生产和销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,淄博,"鲁泰纺织股份有限公司为外商投资股份制企业，A、B股上市公司，是鲁泰集团的母公司，拥有33个生产工厂，下设9家控股子公司，是全球产量最大的高档色织面料生产商和全球顶级品牌衬衫制造商。




鲁泰公司现有总资产81.4亿元，净资产60.7亿元，纱锭65万枚，线锭8.4万枚；鲁泰 年产色织面料17800万米、匹染面料8000万米、衬衣2000万件。2012年全年实现营业收入59亿元，出口创汇7.02亿美元；2013年三季度末实现营业收入46.4亿元，出口创汇5.6亿美元，继续保持增长趋势，名列全国色织行业前茅。



公司衬衫、色织面料、高支高密纯棉坯布、精梳纱线四个产品先后荣获“中国名牌”称号，“鲁泰格蕾芬”商标被评为“中国驰名商标”，“100支纯棉色织面料”产品获得“出口商品免验”资格，公司被认定为国家企业技术中心、国家级实验室和高新技术企业，2008年获得国家科技进步二等奖两项。公司先后获得 “全国五一劳动奖状”、“中华慈善事业突出贡献奖”、“国家职业卫生示范企业”、首届“山东省省长质量奖”、 “全国纺织工业先进集体”、“中国两化融合突出贡献企业” 、中国工业大奖“入围企业”、“中国纺织品牌文化50强”、“全国纺织行业管理创新成果大奖”、“第八届中国企业教育先进单位百强”、“中国棉纺织行业竞争力20强”、“全国纺织企业思想政治工作创新奖”、“全国实施卓越绩效模式先进企业”、“全国纺织行业质量奖”、“ 全国纺织精神文明建设示范基地”、“全国纺织行业两化融合标杆企业”、“中国企业质量信用AAA级企业” 、“全国纺织行业先进党建工作示范企业”、“全国质量奖”等荣誉称号。 　　　",,高端化工
39,鲁丰织染有限公司技术中心,"纺织印染产品生产、销售,纱线、服装服饰产品批发(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期限以许可证为准)。",山东,淄博,,,高端化工
40,山东泉林纸业有限责任公司技术中心,,山东,,,,能源原材料
41,山东中烟工业有限责任公司技术中心,"卷烟、雪茄烟生产销售;卷烟纸、滤嘴棒、烟用丝束购进;烟草专用机械购进,烟叶、烟丝、复烤烟叶购进。(有效期限以许可证为准)。与烟草制品生产销售相关的其他生产经营,多元化经营,资产管理(按国家烟草专卖局批准的范围从事经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,济南,"山东中烟工业有限责任公司成立于2004年2月，是中国烟草总公司的全资子公司，正厅级中央驻鲁国有大型企业。公司下辖济南、青岛、青州、滕州四个直属非法人卷烟生产厂，拥有从事多元化生产经营的将军、颐中集团两个全资子公司。公司总资产196亿元。公司主营卷烟、雪茄烟生产销售，烟草专用机械、烟叶、复烤烟叶、卷烟纸、滤嘴棒、烟用丝束的购进、本省销售；烟草物资、烟机零配件销售及交易服务。

自成立以来，公司在国家烟草专卖局和山东省委、省政府的领导下，始终坚持科学发展观，牢固树立“国家利益至上、消费者利益至上”行业共同价值观，一手抓改革，一手抓经营，经济运行平稳较快发展。2004年至2009年，公司累计上缴各类税金466亿元。2009年，生产卷烟260万箱，规模居全国第六位；实现利税110亿元，同比增长14.38%。

目前，公司技术研发实力雄厚，拥有1个国家级技术中心和1个博士后科研工作站；设备硬件一流，具有先进的现代化科研、生产、检测设备；技术装备达到国际先进、国内一流水平，具备300万箱生产能力。产品质量过硬，在国家局组织卷烟质量抽查中，产品合格率连续多年均为100%。企业管理水平较高，建立了通过国际质量管理、标准化管理体系认证和水平居全国同行前列的信息化、科学化管理体系，所属卷烟厂多次荣获“全国五一劳动奖状”、全国设备管理先进企业、全国优秀政工企业等荣誉称号，连续多年名列“中国纳税百强”、“国有企业500强”行列。

公司主要生产“泰山”、“将军”、“哈德门”三大品牌卷烟，其中“泰山”进入全国知名品牌行列，产品遍布全国，远销海外。",,文化产业
42,山东金麒麟股份有限公司技术中心," 研发、制造、销售各类制动摩擦材料及制动产品、垫片、传感器、传感线、滤清器及所需原材料、设备、零配件销售与维修;润滑油销售;制动液(不含危险品)销售;货物及技术进出口业务(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,乐陵,"一、公司简介： 
山东金麒麟股份有限公司创立于1999年8月，是以制动摩擦材料及其制品为主导产品的国家级高新技术企业。公司是工商银行AA信誉企业，是中国海关AA类信誉企业，是国家汽车零部件出口基地企业、中国汽车零部件制动器衬片行业龙头企业、中国摩擦材料行业突出贡献企业，连续六年乐陵市纳税第一。公司以刹车片、刹车盘为主导产品，开发用于汽车、飞机、高铁、动车、普通列车、城市轨道交通及工程机械、石油机械等工业用系列化摩擦制动产品。公司可生产刹车片品种为3200多个，基本覆盖了市场上的全部轿车及部分客、货车，产品80%远销世界70多个国家和地区。
企业发展目标：将金麒麟建成全球同行业规模最大、科技领先、可持续发展、最有竞争力的现代化企业。
二、公司荣誉：
国家火炬计划重点高新技术企业
世界摩擦材料协会会员
技术中心是国家级技术中心
中国工商银行信誉AA企业
国家汽车零部件出口基地企业 
三、招聘需求及工资福利待遇：
3.1、校园招聘（工作经验两年以下）：
本科生待遇
工资：试用期2000—3500元（211或985院校3000元以上，一本或二本院校2400元，三本院校2000元，特 殊岗位根据工作性质定薪） 
福利：周末双休
缴纳五险一金
免费提供住宿（空调暖气等配套设施齐全） 
免费提供工作餐 
直系亲属养老金 
享受国家法定节假日 
免费发放交通工具 
节假日班车福利 
带薪探亲假事假年假
大专生待遇
工资：试用期2000元
福利：缴纳五险一金 
免费提供住宿（空调暖气等配套设施齐全） 
免费提供工作餐 
直系亲属养老金 
享受国家法定节假日 
免费发放交通工具 
节假日班车福利 
五一劳模
生产标兵
3.2、社会招聘（工作经验两年以上）
工资：试用期2600元以上（条件优秀的面议，部分岗位仍执行应届生工资）
福利：周末双休
缴纳五险一金
免费提供住宿（空调暖气等配套设施齐全） 
免费提供工作餐 
直系亲属养老金 
享受国家法定节假日 
免费发放交通工具 
节假日班车福利 
四、联系地址：
金麒麟总部地址：山东省乐陵市阜乐路999号 招聘电话:0534-2119711 
济南金麒麟地址：济南市济北开发区安顺街6号 招聘电话:0531-81173808
招聘邮箱：HR@chinabrake.com 
公司官网：http://www.chinabrake.com/
投递简历：
1、有工作经验者：应聘职位—学历—学校—工作经验—应聘者姓名
2、无工作经验者：应聘职位—学历—学校—专业—应聘者姓名
欢迎有志之士到金麒麟参观、交流",,高端装备制造
43,威海广泰空港设备股份有限公司技术中心," 机场设备、港口设备、机载设备、船舶设备及配套产品的开发、设计、生产、销售、维修及相关服务、技术培训、技术咨询、检测、安装和租赁;机场工程承包和施工;专用汽车、挂车、改装车的开发、设计、生产、销售及相关服务、技术培训、技术咨询、检测和维修;医疗器械经营;公路养护设备、环保车辆和设备、汽车、汽车底盘及零配件、通讯设备、金属结构、空调设备、灯光设备、电子产品、机电设备、仪器仪表、建筑装饰材料、高低压配电柜的研发、销售、服务;消防器材、安全技术防范产品、社会公共安全设备及器材的销售、服务、技术培训、技术咨询;金属包装容器、罐体的研发、设计、生产、销售、服务;油田设备及零部件的研发、生产、加工、销售、服务;无人驾驶航空器(民用航空器除外)的生产;无人驾驶航空器及配套设备的开发、销售、技术咨询、技术服务;无人驾驶航空器的测绘、喷洒、检测、巡视服务;机械设备租赁;自有房地产经营活动;物业管理;备案范围内的进出口业务。(依法禁止的项目除外,依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,威海,,,高端装备制造
44,雷沃重工股份有限公司技术中心," 摩托车,三轮汽车生产。(有效期限以许可证为准)。汽车、摩托车零配件及工程机械、农用机械、农用车、助力车、电动车、摩托车、场(厂)内专用机动车辆、搬运车、高尔夫球车、巡逻车的技术开发、转让、培训、咨询服务及生产(不含摩托车生产)、销售自产产品(国家有规定的,须凭许可证经营);进出口业务;自有工程机械维修及租赁;旧货、二手车销售;农业机械导航及自动化作业系统生产、销售;普通货运;提供施工设备服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,潍坊,福田雷沃国际重工股份有限公司（简称福田雷沃重工）是一家以工程机械、农业装备、车辆、核心零部件为主体业务的大型产业装备制造企业，2014年实现销售收入219.8亿元。福田雷沃重工凭借在“内涵增长、结构调整、全球化”方面的卓越表现，2014年“雷沃”品牌评估价值攀升至264.98亿元。目前，福田雷沃重工已建成了由300多家销售服务商组成的覆盖全球120多个国家和地区的集“销售、服务、配件供应、用户培训与信息反馈”五位一体的全球营销服务网络体系，出口产品涵盖农业装备、工程机械、车辆三大产业。力争通过10年努力，把福田雷沃重工打造成世界非公路行走机械装备领导者。,,高端装备制造
45,山东滨州亚光毛巾有限公司技术中心,"棉花加工、销售(有效期限以许可证为准);经营本企业生产的毛巾及毛巾类制品、毯类制品、地垫、纺纱及棉纺织品、化纤制品、服装及技术的出口业务,经营本企业生产、科研所需的原辅助材料、仪器、仪表、机械设备、零配件及技术的进口业务;新产品的技术开发、技术服务及技术转让(国家限定公司经营和国家禁止进出口的商品及技术除外);会议及展览展示服务;房屋租赁(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,滨州,,,高端化工
46,山东绿叶制药有限公司技术中心,"生产、加工原料药(七叶皂苷钠、蒙脱石、辣椒碱、泛酸钠、甘氨双唑钠、水杨酸二乙胺)、精神类药品、麻醉类药品、药用辅料、片剂、硬胶囊剂、颗粒剂、冻干粉针剂、凝胶剂、小容量注射剂、散剂(有效期限以许可证为准);药品及医疗器械的技术开发、技术服务;本公司产品的销售;货物及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,烟台,绿叶制药集团是一家以研发为基础的专业制药企业，专注于天然药物、新型制剂和生物技术产品的研发、生产和销售。公司成立于1994年，在烟台、南京、北京、泸州等地设有生产和研发基地，现有员工3000余人，其中专业研发人员超过260人。绿叶致力于为客户提供高品质的医药产品和专业化的服务，目前集团约有30个上市产品，覆盖抗肿瘤、心血管、内分泌、骨科、消化和中枢神经系统等领域，其中具有自主知识产权的创新药物以及新制剂的销售约占90%，公司业务遍及国内绝大部分省、自治区、直辖市，产品进入8000多家医院，并出口多个国家和地区。目前，绿叶制药已成为中国健康领域的知名企业，进入中国制药工业50强。集团将以自主创新为己任，力争2020年成为世界100强的国际性专业制药企业。,,医养健康
47,新汶矿业集团有限责任公司技术中心,"煤炭开采、洗选,道路运输,燃气生产、经营,化工产品(不含化学危险品)销售,石膏开采及石膏制品、许可范围内烧碱、液氯、盐酸、次氯酸纳、聚氯乙烯、三氯氢硅、四氯化硅、液体消毒剂的生产、销售,饮食服务,社区服务,计量授权证书范围内部强制检定;(以上限分支机构经营)。因特网接入服务业务;对外提供经济技术合作业务;采矿设备制造、煤炭、建筑材料的销售,设备租赁,农牧养殖,塑料制品、橡胶制品、纺织品、服装、工艺品(不含金饰品)、计量器具、仪器仪表及配件的生产、销售,对所属企业的管理,煤炭开采技术咨询、服务,批准范围内的进出口业务、房屋租赁;教育咨询,企业管理及商务信息咨询;文化艺术及职业技能培训;环境监测、计量检测;环保技术咨询、服务及培训;文化艺术交流策划,企业形象及市场营销策划;舞美设计;广告业务;会议及展览服务;婚庆礼仪服务,摄影服务,市场调研,网站建设与维护,动漫制作,电子产品、办公用品、文化用品、工艺品销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,新泰,山东能源新汶矿业集团有限责任公司建企于1956年，是一家以国有资产为主体、多种所有制并存，以煤为主、多种产业共同发展的大型企业集团。2010年集团完成原煤产量3723万吨，实现销售收入468亿元。位列2010中国煤炭工业100强第14位、2010中国企业500强第172位，技术创新能力位列全国煤炭行业第9位。企业信贷信誉AAA级。先后荣获首届山东省管理创新优秀企业奖、中国煤炭工业优秀企业管理奖、全国企业文化优秀奖、全国资源综合利用先进单位、全国煤炭行业节能减排先进企业、山东省节能突出贡献企业等称号，被国家发改委等六部委确定为国家第一批循环经济试点企业，建成国家级企业技术中心、博士后科研工作站、泰山学者岗位和院士工作站，被山东省政府认定为重点扶持技术中心企业。新矿集团总部位于山东省新泰市境内，发展地域涉及山东省境内的泰安、莱芜、菏泽、济南、德州、青岛、聊城等7个地市，省外涉及新疆、内蒙、山西、陕西、宁夏、安徽、云南、贵州等8个省区，并与美国、日本、韩国、波兰、南非、印尼、巴西、澳大利亚等国家的企业建立了经贸合作关系。近年来，新矿集团坚持以科学发展观为指导，抢抓机遇、加快发展，运用市场经济规律和先进经营理念再造企业，逐步构建起以“煤炭、煤化工、装备制造、现代服务业”为主体的产业发展新格局。目前，集团拥有煤炭资源储量280亿吨，设计产能1.12亿吨，山东、蒙宁、贵州、新疆“四大煤炭基地”格局初步形成，集团煤炭产能将以每年千万吨规模递增。现主要煤种有气煤、气肥煤、肥煤等，煤炭产品有冶炼精煤、动力精煤、洗混煤、块煤等。按照企业“十二五”战略规划设计，今后一个时期，新矿集团将坚持以科学发展观为指导，按照“产业集中、资源集中、地域集中”的思路，重点打造煤炭、煤化工、装备制造和现代服务业“四大产业板块”，全力加速“千亿新矿、亿吨集团”建设，着力提升企业竞争能力、盈利能力和持续发展能力。到2013年实现产值800亿元，煤炭产能达到8000万吨；到2015年产值突破1000亿元，煤炭产能达到1亿吨。力争经过一个时期的创新拼搏，建成主业突出、竞争力强的国际化能化大企业集团。,,能源原材料
48,东岳集团有限公司技术中心,,山东,,,,
49,万达集团股份有限公司技术中心," 电气机械及器材、化工产品(不含易燃易爆危险品)、建筑材料的生产、加工、销售,电气机械及器材维修;轮胎生产、销售;机械加工;钢结构及电气工程安装;自营和代理进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,东营,"万达集团创立于1988年，形成商业、文化、金融三大产业集团，2015年资产6340亿元，收入2901亿元。万达集团的目标是到2020年，资产达到2000亿美元，市值2000亿美元，收入1000亿美元，净利润100亿美元，成为世界一流跨国企业。

万达商业截至2016年6月，已在全国开业139座万达广场、92家酒店，持有物业面积2632万平方米。2015年，万达商业开始向轻资产模式转型，标志着万达商业的发展进入靠品牌获取利润的崭新阶段。

万达文化产业集团资产903亿元，2015年收入512亿元，旗下包括影视、体育、旅游、儿童娱乐4家公司，目标是2020年成为收入排名全球前五的文化企业。

万达金融集团旗下拥有网络金融、投资、保险等公司，为商家和消费者提供一站式创新金融服务，2015年收入209亿元。",,现代金融
50,恒天海龙(潍坊)新材料有限责任公司技术中心,"化纤用的浆粕、粘胶纤维、纱、布、面料的生产 (不含印染等化学工艺)、销售;加工空心砖;经营国家允许的货物及技术进出口业务;普通货运;浆粕的来料加工(不含化学工艺);纺织技术的开发、研究、服务、咨询、转让;房地产开发、商品房销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,潍坊,"恒天海龙（潍坊）新材料有限责任公司始建于1984年，总资产24亿元，职工4500人。公司年生产差别化及常规粘胶短丝 170000 吨，粘胶长丝 8000 吨。
公司是中国新型再生纤维素纤维及制品的研发和生产基地，拥有国家级技术中心、博士后科研工作站，具有完善的科研开发体系和完备的中试生产线，先后与东华大学、青岛大学、天津工业大学等科研院所合作承担完成国家重点科技攻关项目等国家重点项目10项、省部级技术创新项目／课题５０余项。公司承担完成的“年产45000吨粘胶短纤维工程系统集成化研究”项目荣获多2006年度国家科技进步一等奖。截止2015年，公司共申请专利100项，已授权国内发明专利54项、实用新型专利11项、PCT发明专利6项，主持和参与制订的国家、行业标准18项，是科技部认定的国家火炬计划重点高新技术企业，山东省高新技术企业。 
公司主导产品粘胶纤维系列荣获“中国名牌产品”，先后成功开发出了科技含量和附加值较高的安芙赛阻燃纤维、纽代尔高强纤维、麻赛尔纤维、蛋白纤维等系列新产品，多项填补国内空白，两项处于世界领先水平，产品销往东南亚、欧盟、中东、南美等二十几个国家和地区。",,高端化工
51,烟台泰和新材集团有限公司技术中心," 装饰布、针织内衣、毛巾、服装及其它纺织产品、绝缘纸、各种纸管、纸板及其它纸制品、机电产品(不含品牌汽车)的批发、零售;化工及机械工程技术设计、咨询、服务;货物和技术的进出口;以自有资金投资(未经金融监管部门批准,不得从事吸收存款、融资担保、代客理财等金融业务)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,烟台,,,高端化工
52,力诺集团股份有限公司技术中心,"太阳能热水器、集热器、太阳能光热产品、光伏产品的制造;批发、零售:建筑材料,日用品,工艺美术品;进出口业务;收购纸箱、包装帽;社会经济咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,济南,"力诺集团成立于1994年9月，现有员工一万人，整体规模达到百亿元。下辖力诺瑞特、力诺光伏、太阳能电力、新康集团、玻璃集团、宏济堂制药集团等二级集团。力诺集团以阳光经济、健康产业为主导产业，为全球太阳能新能源领域最具影响力的企业之一，生产基地分布在山东、湖北、安徽、河南等地。企业坚持稳步“走出去”的战略，已在美国纽约、德国法兰克福、南非约翰内斯堡等地设立海外分支机构。力诺集团坚持科学发展，注重科技创新，在企业涉及的产业领域中具有多项国际领先的技术与产品，在行业内创造多个第一。在太阳能热利用领域，获得我国迄今为止唯一一个国级科技进步二等奖，拥有我国首个且唯一一个国家企业技术中心，唯一一个国家住宅产业化基地，唯一一个国家火炬计划特色产业基地；同时，承担国家“火炬”计划和863重点项目20余项。cpc中温太阳能工业热力锅炉系统、中温集热管、钛金膜全玻璃真空太阳能集热管、太阳能热水一体机、太阳能制冷空调系统、冷凝式太阳能燃气锅炉等都代表了行业领先水平。在涂料领域拥有代表国家最高工艺水平的汽车涂料；在特种玻璃领域拥有中性硼硅玻璃等多项领先的技术；在制药领域拥有具有知识产权的麝香酮等一类***新药。
力诺集团重视知识产权，下属的太阳能研究院、涂料研究中心、玻璃研究院、中药研究院等不断孵化出具有国际竞争力和自主知识产权的新技术、新发明，这是力诺集团多项技术与产品在国际竞争中能够保持优势的关键所在。目前，力诺集团共有各类专利450余项，拥有 “力诺瑞特”、“双虎”、“宏济堂”、“力诺”四个中国着名商标和 20个省级着名商标，体现了企业的技术水平、领先优势、创新能力、品牌张力。力诺集团注重包容开放、诚信共赢。前瞻性的科学精神，国际化的发展视野，一流的技术装备，共享的数据资源，客户为先的专业态度，节能环保的理念，创新领先的思想，完善的职业体系，等等，使得力诺集团成为ibm、basf、siemens、cocacola、osram、honeywell、jsj、memc、philips等世界500强的深度合作伙伴，共同致力于员工的成长、客户的增值及环境的改善。",,能源原材料
53,南山集团有限公司技术中心,"铝锭、铝型材、毛纺织品、服装、板材、家具、针织品、黄金制品的销售,货物进出口业务(国家限定或禁止的除外),企业生产科研所需的原辅材料、机械设备、仪器仪表及零配件的加工、销售及技术服务,房地产开发经营,建筑工程施工,仓储服务(不含危险化学品),海产品养殖、销售,房屋、土地、机械设备的租赁,住宿、餐饮服务,室内娱乐服务,主题游乐园服务,休闲健身活动服务,园艺博览,组织、策划文化艺术交流活动,发电、售电、热力供应服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,龙口,,,能源原材料
