,人员规模,企业地址,公司名,公司类型,参保人数,实缴资本,成立日期,所属地区,所属行业,曾用名,核准日期,注册号,注册号公司名,注册资本,登记机关,纳税人识别号,组织机构代码,经营方式,经营状态,经营范围,统一社会信用,统一社会信用代码,英文名,营业期限
319,-,青岛平度市云山镇铁岭庄村查看地图附近公司,平度市京良玻璃油漆店注销,个体工商户,,-,2006-11-14,山东省,-,-,2006-11-14,370283600087681,,-,平度市工商行政管理局,-,-,-,注销,五金、装潢材料零售。(以上范围需经许可经营的须凭许可证经营),,-,-,***至无固定期限
320,-,山东省青岛市平度市崔家集镇崔家集村460号查看地图附近公司,平度市宏祥顺源食品百货经营部存续,个体工商户,,-,2016-07-14,山东省,-,-,2016-07-14,370283602335592,,-,平度市工商行政管理局,-,-,-,存续,粮油、调味品、生肉、熟食、烟酒百货零售（依据食品药品监督管理部门核发的食品经营许可证开展经营活动）、经营其它无需行政审批即可经营的一般经营项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
321,-,山东省青岛市平度市姜家疃市场水产市场查看地图附近公司,平度市王豪肉产品经营部存续,个体工商户,,-,2017-06-29,山东省,-,-,2017-06-29,370283602469628,,-,平度市工商行政管理局,92370283MA3F5EP78X,-,-,存续,肉产品批发零售，经营其它无需行政审批即可经营的一般经营项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370283MA3F5EP78X,-,***至无固定期限
322,-,山东省青岛市平度市李园办事处小庄子村262号查看地图附近公司,平度市玉霞酥皮火烧店存续,个体工商户,,-,2015-12-28,山东省,批发和零售业,-,2015-12-28,370283602276159,,-,平度市工商行政管理局,-,-,-,存续,零售散装食品（现场制售）（依据食药部门核发的《食品流通许可证》开展经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
323,-,山东省青岛市平度市明村镇台头南村查看地图附近公司,李建萍存续,个体工商户,,-,2017-09-25,山东省,-,-,2017-09-25,370283602523346,,-,平度市工商行政管理局,92370283MA3EL58B41,-,-,存续,五金零售经营其它无需行政审批即可经营的一般经营项目。(依法须经批准的项目经相关部门批准后方可开展经营活动),,92370283MA3EL58B41,-,***至无固定期限
324,-,山东省青岛市平度市南村镇三城村16号查看地图附近公司,平度市噢伊西手工面食坊存续,个体工商户,,-,2016-08-09,山东省,-,-,2016-09-13,370283602342061,,-,平度市工商行政管理局,-,-,-,存续,面食制售、预包装食品零售（依据食药监管部门核发的许可证于有效期内开展经营活动）经营其它无需行政审批即可经营的一般经营项目（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,,-,-,***至无固定期限
325,-,山东省青岛市平度市仁兆镇南沙窝村57号查看地图附近公司,平度市米可儿护肤品商店存续,个体工商户,,-,2016-11-17,山东省,-,-,2016-11-17,370283602391246,,-,平度市工商行政管理局,-,-,-,存续,批发、零售日用百货、化妆品、服装、食品（依据食品药品监督管理部门核发的《食品经营许可证》开展经营活动）；经营其他无需行政审批即可经营的一般经营项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
326,-,山东省青岛市平度市同和街道办事处三城路888号豪德商贸城48栋13号查看地图附近公司,青岛鑫润通胜塑料制品有限公司在业,有限责任公司(自然人独资),-,-,2017-01-03,山东省,批发和零售业,-,2017-01-03,370283230106836,,30万人民币元,平度市市场监督管理局,91370283MA3D334K8D,MA3D334K-8,,在营（开业）企业,塑料制品、金属制品、建筑材料、五金交电、化工原料(不含危险化学品)、汽车配件、电线电缆、仪器仪表、轴承、日用百货、电动工具、阀门、水泵、矿山机械配件批发、零售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370283MA3D334K8D,-,2017-01-03至无固定期限
327,-,山东省青岛市平度市新河镇南崔家村163号查看地图附近公司,青岛荣铠制动器有限公司在业,有限责任公司(自然人独资),-,-,2018-03-23,山东省,制造业,-,2018-03-23,-,,100万人民币元,平度市市场监督管理局,91370283MA3MU76R4X,-,,在营（开业）企业,电力液压制动器、液压推动器、通用机械设备配件制造、销售;经营其它无需行政审批即可经营的一般经营项目。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370283MA3MU76R4X,-,2018-03-23至无固定期限
328,-,山东省临沂市平邑县白彦镇姜家庄村查看地图附近公司,平邑县盛文合百货超市注销,个人独资企业,-,-,2015-03-18,山东省,批发和零售业,-,2017-07-24,371326300019586,,10万人民币元,平邑县工商行政管理局,-,-,,注销,预包装食品兼散装食品(依法须经批准的项目经相关部门批准后方可开展经营活动)销售,,-,-,2015-03-18至无固定期限
329,-,山东省临沂市平邑县临涧镇临涧村查看地图附近公司,平邑县小牛批发店在业,个体工商户,,-,2018-04-24,山东省,-,-,2018-04-24,-,,-,平邑县工商行政管理局,92371326MA3N19C188,-,-,在营（开业）企业,活鸡、鲜蛋、雪糕批发(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371326MA3N19C188,-,***至无固定期限
330,-,山东省临沂市平邑县流峪镇驻地查看地图附近公司,山东省平邑县北发药材有限公司在业,有限责任公司(自然人投资或控股),-,30万人民币元,1999-04-26,山东省,农、林、牧、渔业,-,2016-04-11,371326228000467,,1877万人民币元,平邑县工商行政管理局,91371326267140109P,26714010-9,,在营（开业）企业,地产中药材种植(不含甘草、杜仲、麻黄草、厚朴)的销售;农副产品(不含粮食、蚕茧、烟草)购销。(需许可经营的须凭许可证经营)(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,91371326267140109P,-,2004-04-23至2020-04-22
331,-,山东省烟台市栖霞市商业街查看地图附近公司,朱成浩存续,个体工商户,,-,2017-06-09,山东省,-,-,2017-06-09,370686600511288,,-,栖霞市市场监督管理局,92370686MA3DTTHR0R,-,-,存续,家用电器、照明灯具、电子产品、水暖管件、家电配件零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370686MA3DTTHR0R,-,***至无固定期限
332,-,振兴路查看地图附近公司,栖霞市审美理发店注销,个体工商户,,-,2005-04-27,山东省,-,-,2015-08-12,370686600063199,,-,栖霞市市场监督管理局,-,-,-,注销,服务,,-,-,***至无固定期限
333,-,齐河县焦庙镇商业街查看地图附近公司,齐河县焦庙镇回味干果店在业,个体工商户,,-,2015-02-04,山东省,批发和零售业,-,2015-02-04,371425600291792,,-,齐河县工商行政管理局,-,-,-,在营（开业）企业,干果、日用小百货。（依法须经批准的项目，经相关部门批准后方可开展经营活动）*零售*,,-,-,***至无固定期限
334,-,齐河县开发区北街村查看地图附近公司,齐河县开发区月宝农作物种植专业合作社在业,农民专业合作经济组织,-,-,2009-11-20,山东省,农、林、牧、渔业,-,2009-11-20,371425NA000179X,,10万人民币元,齐河县工商行政管理局,-,-,,在营（开业）企业,农作物种植及相关技术服务,,-,-,***至无固定期限
335,-,齐河县马集镇后刘堂村查看地图附近公司,齐河县马集镇化云五金店存续,个体工商户,,-,2014-12-11,山东省,批发和零售业,-,2014-12-11,371425600275821,,-,齐河县工商行政管理局,-,-,-,存续,五金,,-,-,***至无固定期限
336,-,山东省德州市齐河县表白寺镇商业街查看地图附近公司,齐河县表白寺镇优优孕婴生活馆在业,个体工商户,,-,2015-10-16,山东省,批发和零售业,-,2017-05-18,371425600319536,,-,齐河县工商行政管理局,92371425MA3DNRMJ9M,-,-,在营（开业）企业,婴幼服饰、童车玩具、奶粉、妇婴用品、咨询服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92371425MA3DNRMJ9M,-,***至无固定期限
337,-,山东省德州市齐河县赵官镇大马头村查看地图附近公司,齐河县赵官镇希莲化妆品店在业,个体工商户,,-,2015-11-18,山东省,批发和零售业,-,2015-11-18,371425600331127,,-,齐河县工商行政管理局,-,-,-,在营（开业）企业,零售,,-,-,***至无固定期限
338,-,北关新村查看地图附近公司,潍城区亚泰糕点厂注销,个体工商户,,-,2000-03-14,山东省,-,-,-,3707023150192,,-,-,-,-,-,注销,糕点,,-,-,***至无固定期限
339,-,博平中铺街查看地图附近公司,茌平县博平中铺街麻酱烧饼餔注销,个体工商户,,-,2007-11-21,山东省,-,-,-,371523600059268,,-,-,-,-,-,注销,面食、加工、销售,,-,-,***至无固定期限
340,-,车站街东首查看地图附近公司,泰安市泰山区晓玲麻辣鸡丁米线馆注销,个体工商户,,-,2007-05-18,山东省,-,-,-,370902600371930,,-,-,-,-,-,注销,米线加工销售(涉及许可证经营的无许可证不得经营),,-,-,***至无固定期限
341,-,陈庄镇驻地查看地图附近公司,桓台县陈庄镇芳恋经营部吊销,个体工商户,,-,2003-09-03,山东省,-,-,-,370321600031975,,-,-,-,-,-,吊销，未注销,零售烟酒糖茶百货。,,-,-,***至无固定期限
342,-,茌平县振兴办事处洼里村查看地图附近公司,茌平县振兴办事处诚信电气焊门市部注销,个体工商户,,-,2010-10-25,山东省,-,-,-,371523600139469,,-,-,-,-,-,注销,电气焊、补胎,,-,-,***至无固定期限
343,-,春阳街南侧(西至泊新村)查看地图附近公司,莱阳市城厢百盛服装加工部注销,个体工商户,,-,2006-03-14,山东省,-,-,-,3706823005458,,-,-,-,-,-,注销,加工服装。,,-,-,***至无固定期限
344,-,德州市德城区三八中路1238号人民医院北门对面*C查看地图附近公司,德州市德城区翔宇文印部注销,个体工商户,,-,2009-07-16,山东省,-,-,-,371402600234393,,-,-,-,-,-,注销,打字、复印、名片(印刷经营许可证有效期至2012年6月30日),,-,-,***至无固定期限
345,-,东营区八分场盛大市场北侧查看地图附近公司,东营区家家悦干鲜果店注销,个体工商户,,-,2004-09-17,山东省,-,-,-,3705023014758,,-,-,-,-,-,注销,干鲜果品零售,,-,-,***至无固定期限
346,-,费县城东工业园查看地图附近公司,费县费城现代机械厂注销,个体工商户,,-,2007-06-26,山东省,-,-,-,371325600141690,,-,-,-,-,-,注销,旋切机、旋切机配件(须经许可经营的凭许可证经营),,-,-,***至无固定期限
347,-,福山区芝阳村查看地图附近公司,烟台市福山区芝阳春江修表部注销,个体工商户,,-,2003-04-14,山东省,-,-,-,3706113013858,,-,-,-,-,-,注销,维护钟表、手表,,-,-,***至无固定期限
348,-,广饶县月河西路查看地图附近公司,广饶县月河路丁芬理发店注销,个体工商户,,-,2001-08-22,山东省,-,-,-,3705233008322,,-,-,-,-,-,注销,理发。,,-,-,***至无固定期限
349,-,海港物流园区E幢付6号查看地图附近公司,烟台市芝罘区晨林装饰材料商行注销,个体工商户,,-,2006-04-28,山东省,-,-,-,3706023290538,,-,-,-,-,-,注销,楼梯、五金、木雕、家居饰品零售,,-,-,***至无固定期限
350,-,好生镇驻地查看地图附近公司,邹平县京鲁化工经营部注销,个体工商户,,-,2008-02-27,山东省,-,-,-,371626600163744,,-,-,-,-,-,注销,纤维素、滑石粉、氯化铵、碱粉、淀粉、元明粉、(不含化学危险品)五金电器(需经许可或批准生产经营的须凭许可证或批准文件生产经营),,-,-,***至无固定期限
351,-,红门路查看地图附近公司,泰安市泰山区北关照相馆注销,个体工商户,,-,2004-02-13,山东省,-,-,-,3709023011759,,-,-,-,-,-,注销,照相服务(涉及许可证经营的无许可证不得经营),,-,-,***至无固定期限
352,-,桓台县起凤镇夏六村查看地图附近公司,桓台县起凤镇合发木器加工厂吊销,个体工商户,,-,2001-11-21,山东省,-,-,-,3703213040677,,-,-,-,-,-,吊销，未注销,加工、销售铝合金、木器、钢塑门窗,,-,-,***至无固定期限
353,-,黄堆集乡驻地查看地图附近公司,供销社生活门市批发部注销,个体工商户,,-,2003-05-15,山东省,-,-,-,3717253004001,,-,-,-,-,-,注销,烟酒糖茶,,-,-,***至无固定期限
354,-,黄庄洪沟社区查看地图附近公司,莱芜市钢城区兴业运输队注销,个体工商户,,-,2008-01-24,山东省,-,-,-,371203600069189,,-,-,-,-,-,注销,普通货运.(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
355,-,济南市历城区东环国际广场A座2303室查看地图附近公司,历城区束草化妆品商行吊销,个体工商户,,-,2009-07-28,山东省,-,-,-,370112600245316,,-,-,-,-,-,吊销，未注销,批发、零售,,-,-,***至无固定期限
356,-,贾镇查看地图附近公司,贾镇东龙饭店注销,个体工商户,,-,2003-03-10,山东省,-,-,-,3715253001038,,-,-,-,-,-,注销,炒菜、面食服务,,-,-,***至无固定期限
357,-,胶州市胶东镇前店口村查看地图附近公司,胶州市福顺新型建筑材料厂吊销,个体工商户,,-,2006-03-20,山东省,-,-,-,3702813107926,,-,-,-,-,-,吊销，未注销,加工、制作,,-,-,***至无固定期限
358,-,莒县陵阳镇驻地查看地图附近公司,莒县陵阳印刷厂注销,个体工商户,,-,2001-10-15,山东省,-,-,-,371122600071587,,-,-,-,-,-,注销,本子表格联单卫生纸分包销售(印刷品许可证有效期限至2009年12月31日止),,-,-,***至无固定期限
359,-,莒县桑园乡范家团山村12号查看地图附近公司,莒县桑园崇明建材商店注销,个体工商户,,-,2011-01-18,山东省,-,-,-,371122600340713,,-,-,-,-,-,注销,五金建材、土产杂品、太阳能,,-,-,***至无固定期限
360,-,开发区大东钢管市场内1区3号查看地图附近公司,聊城市开发区天宇钢管销售中心注销,个体工商户,,-,2006-11-10,山东省,-,-,-,371527600012231,,-,-,-,-,-,注销,钢管销售及钢管中介业务,,-,-,***至无固定期限
361,-,开发区大季家驻地查看地图附近公司,烟台开发区大季家金山家俱厂注销,个体工商户,,-,2003-09-02,山东省,-,-,-,3706363003698,,-,-,-,-,-,注销,家俱加工,,-,-,***至无固定期限
362,-,莱城区高庄办事处谭家楼村查看地图附近公司,莱芜市莱城区书学门市部吊销,个体工商户,,-,2001-06-14,山东省,-,-,-,371202600023090,,-,-,-,-,-,吊销，未注销,烟酒糖茶、副食、百货、土产杂品零售(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
363,-,莱山区石沟屯查看地图附近公司,烟台市莱山区贞淑比萨炸鸡店注销,个体工商户,,-,2004-09-10,山东省,-,-,-,3706133014237,,-,-,-,-,-,注销,小吃服务、酒水零售。,,-,-,***至无固定期限
364,-,莱州市古城街160号查看地图附近公司,莱州市古城街宏伟通讯器材经销店注销,个体工商户,,-,2004-03-04,山东省,-,-,-,3706833026206,,-,-,-,-,-,注销,零售,,-,-,***至无固定期限
365,-,老城镇祝官屯村查看地图附近公司,老城镇祝官屯立俊贩运点农注销,个体工商户,,-,2006-09-09,山东省,-,-,-,371428600095244,,-,-,-,-,-,注销,-,,-,-,***至无固定期限
366,-,李沧区308国道639号楼4-102户查看地图附近公司,青岛市李沧区韩进信息服务部注销,个体工商户,,-,2001-03-28,山东省,-,-,-,3702133018034,,-,-,-,-,-,注销,服务经济信息中介。,,-,-,***至无固定期限
367,-,临沂市兰山区朱保乡前寨村查看地图附近公司,临沂市兰山区朱保乡玉林板材厂注销,个体工商户,,-,2000-12-21,山东省,-,-,-,3713023006319,,-,-,-,-,-,注销,多层板,,-,-,***至无固定期限
368,-,岭泉镇石门亭村查看地图附近公司,莒南县岭泉镇石门亭农资农家店注销,个体工商户,,-,2006-11-20,山东省,-,-,-,371327600193477,,-,-,-,-,-,注销,化肥.农地膜零售,,-,-,***至无固定期限
369,-,龙口市烟潍路荷百建材市场东查看地图附近公司,龙口市阳光运动用品商店注销,个体工商户,,-,2009-11-27,山东省,-,-,-,370681600225764,,-,-,-,-,-,注销,运动器材、服装、办公用品零售、场地租赁、承接会议、培训,,-,-,***至无固定期限
370,-,宁津县福宁大街116号查看地图附近公司,宁津县新兴阁工艺品经营部注销,个体工商户,,-,2010-06-28,山东省,-,-,-,371422600217618,,-,-,-,-,-,注销,木制工艺品,,-,-,***至无固定期限
371,-,宁阳县磁窑镇车站街*查看地图附近公司,宁阳县磁窑东村五金批发部注销,个体工商户,,-,2002-08-19,山东省,-,-,-,370921600032561,,-,-,-,-,-,注销,五金电料;民用建材零售。(需许可经营的凭许可证件经营),,-,-,***至无固定期限
372,-,鹏泉东大街19号查看地图附近公司,莱芜市莱城区顺心陶瓷商店注销,个体工商户,,-,2010-11-29,山东省,-,-,-,371202600376109,,-,-,-,-,-,注销,工艺礼品、陶瓷(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
373,-,平邑县莲花山商城4号楼417室查看地图附近公司,平邑县惠福堂日用品经营部注销,个体工商户,,-,2010-01-14,山东省,-,-,-,371326600237759,,-,-,-,-,-,注销,日用品、化妆品,,-,-,***至无固定期限
374,-,平邑县温水镇驻地查看地图附近公司,慧祥大酒店注销,个体工商户,,-,2007-09-11,山东省,-,-,-,371326600139601,,-,-,-,-,-,注销,饭菜.酒,,-,-,***至无固定期限
375,-,平阴县城环秀小区查看地图附近公司,平阴县广信商店吊销,个体工商户,,-,2000-08-11,山东省,-,-,-,3701248010117,,-,-,-,-,-,吊销，未注销,日用百货、烟酒零售。,,-,-,***至无固定期限
376,-,平原县富民西大街查看地图附近公司,平原县兰宝石精品文具店注销,个体工商户,,-,2003-03-20,山东省,-,-,-,3714263020049,,-,-,-,-,-,注销,文具、精品零售,,-,-,***至无固定期限
377,-,前刘庄查看地图附近公司,武城镇玉祥运煤中心注销,个体工商户,,-,2007-06-07,山东省,-,-,-,371428600163722,,-,-,-,-,-,注销,拉煤球,,-,-,***至无固定期限
378,-,青岛市李沧区顺河路97号楼东侧(车库)查看地图附近公司,青岛市李沧区权欣伟业房屋信息经纪服务部注销,个体工商户,,-,2008-03-22,山东省,-,-,-,370213600469266,,-,-,-,-,-,注销,房屋居间经纪服务。(以上范围需经许可经营的须凭许可证经营),,-,-,***至无固定期限
379,-,青岛市市北区延安三路24号3单元103户查看地图附近公司,青岛市市北区真精彩数码设计制作室注销,个体工商户,,-,2007-04-11,山东省,-,-,-,370203600339306,,-,-,-,-,-,注销,电脑平面设计零售,,-,-,***至无固定期限
380,-,青岛市市北区伊春路106号查看地图附近公司,青岛市市北区辣欢天火锅店注销,个体工商户,,-,2005-01-26,山东省,-,-,-,3702033019854,,-,-,-,-,-,注销,经营涮火锅、凉拌菜、酒类。,,-,-,***至无固定期限
381,-,青州市黄楼镇西夏落村查看地图附近公司,青州市黄楼好庆花卉园注销,个体工商户,,-,2001-09-18,山东省,-,-,-,3707813050296,,-,-,-,-,-,注销,花卉苗木种植、销售,,-,-,***至无固定期限
382,-,庆云县常家镇大高村查看地图附近公司,庆云县常家镇大高卫生油销售部注销,个体工商户,,-,2009-08-25,山东省,-,-,-,371423600137990,,-,-,-,-,-,注销,卫生油(凭许可证经营的需凭许可证经营),,-,-,***至无固定期限
383,-,荣成市南山中路50号楼门市5号查看地图附近公司,荣成市崖头英芙家电维修部注销,个体工商户,,-,2005-07-05,山东省,-,-,-,371082600069007,,-,-,-,-,-,注销,修理电视机,,-,-,***至无固定期限
384,-,山东省济南市历城区西营镇西营村（信用社对面）查看地图附近公司,历城区盛红服装店存续,个体工商户,,-,2015-10-30,山东省,批发和零售业,-,2015-10-30,370112600651295,,-,-,-,-,-,存续,服装鞋帽的零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
385,-,(山东省日照市)黄海三路查看地图附近公司,日照开发区启明装饰材料商场吊销,个体工商户,,-,2002-03-01,山东省,-,-,-,371102600071970,,-,-,-,-,-,吊销，未注销,胶合板、五金配件、电工器材、日用杂品,,-,-,***至无固定期限
386,-,山东省泰安市泰良路查看地图附近公司,泰安市泰山区振兴纸行注销,个体工商户,,-,2004-06-17,山东省,-,泰安市泰山区名流车业专卖店,-,370902600271087,,-,-,-,-,-,注销,草板纸销售(涉及许可证经营的无许可证不得经营),,-,-,***至无固定期限
387,-,石集街查看地图附近公司,鱼台县大众理发店注销,个体工商户,,-,2000-01-01,山东省,-,-,-,370827600022157,,-,-,-,-,-,注销,-,,-,-,***至无固定期限
388,-,泗水县大黄沟乡南崇义村查看地图附近公司,泗水县大黄沟乡光光塑料制品经营部注销,个体工商户,,-,2010-09-16,山东省,-,-,-,370831600159213,,-,-,-,-,-,注销,塑料制品销售(涉及许可经营的须凭许可证或批准文件经营)。,,-,-,***至无固定期限
389,-,天桥区北园大街372号山东装饰城1区15号查看地图附近公司,济南市天桥区北园新建装饰材料经销处吊销,个体工商户,,-,1999-03-16,山东省,-,-,-,3701053020801,,-,-,-,-,-,吊销，未注销,装饰材料五金的零售,,-,-,***至无固定期限
390,-,田村王家庄查看地图附近公司,威海高技术产业开发区王家庄润威峰窝煤场注销,个体工商户,,-,2004-01-08,山东省,-,-,-,3710043000655,,-,-,-,-,-,注销,蜂窝煤加工,,-,-,***至无固定期限
391,-,威峰市场查看地图附近公司,威海经济技术开发区长峰三威林生日蛋糕店吊销,个体工商户,,-,1999-08-24,山东省,-,-,-,3710213201174,,-,-,-,-,-,吊销，未注销,面包、糕点。,,-,-,***至无固定期限
392,-,潍坊市坊子区九龙街办前邓村查看地图附近公司,潍坊市坊子区吉祥机械加工厂注销,个体工商户,,-,2010-10-12,山东省,-,-,-,370704600118446,,-,-,-,-,-,注销,车床加工机械制造,,-,-,***至无固定期限
393,-,无棣县棣新五路查看地图附近公司,无棣县腾达汽车装具门市部注销,个体工商户,,-,2007-07-31,山东省,-,-,-,371623600032943,,-,-,-,-,-,注销,汽车装具批零兼营,,-,-,***至无固定期限
394,-,武城县城区漳南东街查看地图附近公司,武城县城区鑫颖美发时尚空间注销,个体工商户,,-,2009-04-18,山东省,-,-,-,371428600193149,,-,-,-,-,-,注销,理发(凭有效许可证经营),,-,-,***至无固定期限
395,-,新华路查看地图附近公司,临清市新华路德洲扎啤经营点注销,个体工商户,,-,2001-05-11,山东省,-,-,-,3715813011247,,-,-,-,-,-,注销,-,,-,-,***至无固定期限
396,-,阳信县步行街查看地图附近公司,阳信县阳信镇鑫源超市注销,个体工商户,,-,2008-09-23,山东省,-,-,-,371622600052798,,-,-,-,-,-,注销,副食品百货烟酒零售,,-,-,***至无固定期限
397,-,沂源县城历山路查看地图附近公司,沂源县南麻伍八裤行吊销,个体工商户,,-,2006-04-07,山东省,-,-,-,370323600043276,,-,-,-,-,-,吊销，未注销,服装、鞋帽、针织零售。,,-,-,***至无固定期限
398,-,友谊大厦一楼1034号查看地图附近公司,东营区江辉服装摊点注销,个体工商户,,-,2002-03-18,山东省,-,-,-,3705023003552,,-,-,-,-,-,注销,服装零售,,-,-,***至无固定期限
399,-,鱼台县工业路西聚成装饰建材商贸城查看地图附近公司,鱼台县得闲聚酒楼注销,个体工商户,,-,2011-08-10,山东省,-,-,-,370827600117839,,-,-,-,-,-,注销,不含凉菜、不含裱花蛋糕、不含生食海产品(持餐饮服务许可证经营有效期限至2014年04月06日止)。,,-,-,***至无固定期限
400,-,张店西二路177号查看地图附近公司,张店新旺五金供销部注销,个体工商户,,-,2005-04-28,山东省,-,-,-,370303600093394,,-,-,-,-,-,注销,五金交电土杂阀门管件劳保护品节能产品。,,-,-,***至无固定期限
401,-,周村区油坊街南首查看地图附近公司,周村瑞丰快餐店吊销,个体工商户,,-,2004-12-23,山东省,-,-,-,3703063023475,,-,-,-,-,-,吊销，未注销,面食、炒菜、酒水*饮食服务(有效期至2005年12月31日),,-,-,***至无固定期限
402,-,周村区赵家不锈钢市场内查看地图附近公司,周村德立信不锈钢经营部注销,个体工商户,,-,2007-05-14,山东省,-,-,-,370306601013009,,-,-,-,-,-,注销,不锈钢材及配件、电工器材*零售,,-,-,***至无固定期限
403,-,朱刘镇钱家庄村查看地图附近公司,昌乐增发石子球磨厂注销,个体工商户,,-,2006-02-28,山东省,-,-,-,370725600013245,,-,-,-,-,-,注销,球磨粉加工、销售(涉及许可证经营的无许可证不得经营),,-,-,***至无固定期限
404,-,诸城市密州商城东区三号查看地图附近公司,诸城市翔云童装商场注销,个体工商户,,-,2004-12-29,山东省,-,-,-,3707823281634,,-,-,-,-,-,注销,童装童鞋零售。(房屋租赁合同有效期至2007年5月30日暂住证有效期至2005年12月),,-,-,***至无固定期限
405,-,青岛市城阳区流亭街道苇苫社区查看地图附近公司,城阳区鑫发源百货店存续,个体工商户,,-,2010-03-05,山东省,批发和零售业,-,2010-03-05,370214600383033,,-,青岛市城阳区工商行政管理局,-,-,-,存续,零售日用百货。(以上范围需经许可经营的须凭许可证经营),,-,-,***至无固定期限
406,-,青岛市城阳区上马街道上马村查看地图附近公司,青岛市城阳区锦通通信经营部存续,个体工商户,,-,2008-05-13,山东省,批发和零售业,-,2008-05-13,370214600301116,,-,青岛市城阳区工商行政管理局,-,-,-,存续,零售手机及配件；代办移动通讯业务(以上范围需经许可经营的须凭许可证经营)**,,-,-,***至无固定期限
407,-,青岛市城阳区上马街道朝阳社区查看地图附近公司,城阳区李日全养殖场注销,个体工商户,,-,2015-04-02,山东省,农、林、牧、渔业,-,2017-08-01,370214601072234,,-,青岛市城阳区工商行政管理局,-,-,-,注销,水貂养殖(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,***至无固定期限
408,-,青岛市城阳区兴阳路308号办公905-1查看地图附近公司,城阳区爱依爱依童装店存续,个体工商户,,-,2013-04-25,山东省,批发和零售业,-,2013-04-25,370214600598459,,-,青岛市城阳区工商行政管理局,-,-,-,存续,网上经营童装。(以上范围需经许可经营的须凭许可证经营)**,,-,-,***至无固定期限
409,-,山东省青岛市城阳区德阳路566-65号查看地图附近公司,城阳区雷蒂森舞箭卫浴店存续,个体工商户,,-,2015-11-18,山东省,批发和零售业,-,2015-11-18,370214601900630,,-,青岛市城阳区工商行政管理局,-,-,-,存续,批发零售卫浴、洁具、五金电器（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
410,-,山东省青岛市城阳区棘洪滩街道北万社区21号查看地图附近公司,城阳区王中才小吃店存续,个体工商户,,-,2017-08-08,山东省,-,-,2017-08-08,370214602097637,,-,青岛市城阳区工商行政管理局,92370214MA3FCCP624,-,-,存续,现场制售散装食品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370214MA3FCCP624,-,***至无固定期限
411,-,山东省青岛市城阳区惜福镇街道前金社区居委会西300米查看地图附近公司,城阳区刘德金小吃店存续,个体工商户,,-,2017-09-25,山东省,-,-,2017-09-25,370214602119721,,-,青岛市城阳区工商行政管理局,92370214MA3EL4WT1K,-,-,存续,餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370214MA3EL4WT1K,-,***至无固定期限
412,-,青岛市城阳区棘洪滩街道前海西社区居委会西2000米(仅限办公)查看地图附近公司,青岛老味道果蔬种植专业合作社在业,农民专业合作经济组织,-,-,2014-05-19,山东省,农、林、牧、渔业,-,2014-05-19,370214NA000291X,,50万人民币元,青岛市城阳区市场监督管理局,933702140999336430,09993364-3,,在营（开业）企业,在成员间开展种植技术指导;蔬菜、水果、林木的种植与批发。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,933702140999336430,-,***至无固定期限
413,-,青岛市城阳区兴阳路417号37号楼2单元201(仅限办公)查看地图附近公司,青岛友财生态农业有限公司在业,有限责任公司(自然人投资或控股),-,3万人民币元,2012-06-26,山东省,批发和零售业,-,2012-06-26,370214230086756,,3万人民币元,青岛市城阳区市场监督管理局,-,59900276-5,,在营（开业）企业,一般经营项目,,-,-,2012-06-26至无固定期限
414,-,青岛市城阳区中城路567号《金日紫都》1层1-2层网点查看地图附近公司,青岛韩运丰国际贸易有限公司在业,有限责任公司(自然人独资),-,100万人民币元,2011-11-04,山东省,批发和零售业,-,2011-11-04,370214230069085,,100万人民币元,青岛市城阳区市场监督管理局,-,58367666-9,,在营（开业）企业,许可经营项目,,-,-,2011-11-04至无固定期限
